Заголовок;Ссылка;Дата
[Перевод] Возможно, самый гениальный код на python на сегодня: разбираем 200-строчный microgpt от Андрея Карпаты;https://habr.com/ru/articles/996404/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996404;Sat, 14 Feb 2026 22:10:14 GMT
Чат-бот с генеративным AI под капотом (разговаривает как живой);https://habr.com/ru/articles/993912/?utm_source=habrahabr&utm_medium=rss&utm_campaign=993912;Sat, 14 Feb 2026 21:37:14 GMT
Хочу всё знать;https://habr.com/ru/articles/996620/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996620;Sat, 14 Feb 2026 19:57:16 GMT
Как выбирать правильно: быстрая оценка масштаба пользовательского интерфейса цифрового продукта;https://habr.com/ru/articles/996618/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996618;Sat, 14 Feb 2026 19:48:03 GMT
Как организовать отчёты менеджеров по продажам в Google Таблицах и собирать данные в общие сводки;https://habr.com/ru/articles/996616/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996616;Sat, 14 Feb 2026 19:37:51 GMT
«(Не)послушные рынки. Фрактальная революция в финансах» (ч.2);https://habr.com/ru/articles/996554/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996554;Sat, 14 Feb 2026 18:12:13 GMT
[Перевод] Почему системные вызовы обходятся дорого: углубляемся в дебри Linux;https://habr.com/ru/articles/996600/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996600;Sat, 14 Feb 2026 17:30:38 GMT
Кончается ли у нас золото?;https://habr.com/ru/articles/996588/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996588;Sat, 14 Feb 2026 15:24:24 GMT
Как геймеру не пропустить главные игры 2026? Лучшее время купить консоль и не жалеть;https://habr.com/ru/companies/timeweb/articles/996582/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996582;Sat, 14 Feb 2026 15:05:59 GMT
Как работает генеративный ИИ на примере метафоры;https://habr.com/ru/articles/996584/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996584;Sat, 14 Feb 2026 14:21:05 GMT
ИИ (Генеративное) видео без галлюцинаций: пишем CLI-конвейер на Python (Qwen + Manim);https://habr.com/ru/articles/993630/?utm_source=habrahabr&utm_medium=rss&utm_campaign=993630;Sat, 14 Feb 2026 14:14:20 GMT
Как QA-инженеру вырасти из джуна в руководителя?;https://habr.com/ru/companies/avito/articles/996160/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996160;Sat, 14 Feb 2026 13:16:50 GMT
Администратор может читать переписку сотрудников в Bitrix24. Это нормально?;https://habr.com/ru/articles/996580/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996580;Sat, 14 Feb 2026 13:15:41 GMT
[Перевод] Изготовление электронно-лучевых трубок в домашних условиях;https://habr.com/ru/companies/ruvds/articles/995420/?utm_source=habrahabr&utm_medium=rss&utm_campaign=995420;Sat, 14 Feb 2026 13:01:36 GMT
Совместный вебинар двух компаний: как правильно собирать ПДн участников;https://habr.com/ru/articles/996578/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996578;Sat, 14 Feb 2026 12:30:04 GMT
pineTERM — минималистичный, но мощный веб-терминал для UART;https://habr.com/ru/articles/996576/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996576;Sat, 14 Feb 2026 12:19:39 GMT
Нейросети для фотосессий: Обзор ИИ и промпты для мужской, женской, парной и семейной фотосессии;https://habr.com/ru/companies/studyai/articles/996574/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996574;Sat, 14 Feb 2026 12:18:15 GMT
Введение в Yttri — Что это и почему это нужно?;https://habr.com/ru/articles/996446/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996446;Sat, 14 Feb 2026 12:16:57 GMT
Дипломированный взлом V$ дипломатический шантаж;https://habr.com/ru/articles/996572/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996572;Sat, 14 Feb 2026 12:16:29 GMT
[Перевод] Настоящая паровая турбина на… радиоуправляемой модели;https://habr.com/ru/companies/selectel/articles/996570/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996570;Sat, 14 Feb 2026 12:04:55 GMT
[Перевод] Новая элита Китая;https://habr.com/ru/articles/996566/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996566;Sat, 14 Feb 2026 11:48:35 GMT
Модуль sys в Python: интерфейс между вашим кодом и интерпретатором;https://habr.com/ru/articles/996564/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996564;Sat, 14 Feb 2026 11:45:17 GMT
SEO, SigmaAPI и роботы;https://habr.com/ru/articles/996550/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996550;Sat, 14 Feb 2026 11:36:45 GMT
Как досчитать до бесконечности, если ты не Чак Норрис;https://habr.com/ru/articles/996470/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996470;Sat, 14 Feb 2026 11:30:18 GMT
25 железных правил проектирования баз данных в PostgreSQL;https://habr.com/ru/articles/996560/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996560;Sat, 14 Feb 2026 11:16:16 GMT
Хотят ли арахниды войны, или SUMMA PRO VERHOEVEN. Часть 2;https://habr.com/ru/articles/996558/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996558;Sat, 14 Feb 2026 11:15:03 GMT
Роль показателей в механизме управления компании;https://habr.com/ru/articles/996552/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996552;Sat, 14 Feb 2026 10:55:30 GMT
Как искусственный интеллект влияет на современную японскую литературу;https://habr.com/ru/companies/onlinepatent/articles/996548/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996548;Sat, 14 Feb 2026 10:47:07 GMT
STM32: Виртуальный COM порт на USB (Serial Over USB);https://habr.com/ru/articles/996544/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996544;Sat, 14 Feb 2026 10:46:27 GMT
Молодые и нервные — как зумеры воспринимают мир (текст-эксперимент);https://habr.com/ru/articles/996542/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996542;Sat, 14 Feb 2026 10:31:04 GMT
Тип данных Real и его расхождение с реальностью при определении расстояния с помощью инкрементального энкодера;https://habr.com/ru/articles/996540/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996540;Sat, 14 Feb 2026 10:26:09 GMT
Вайб-кодинг: мина замедленного действия;https://habr.com/ru/articles/995974/?utm_source=habrahabr&utm_medium=rss&utm_campaign=995974;Sat, 14 Feb 2026 10:24:41 GMT
Поиск аномалий: статистика или ML? Выбираем лучшее;https://habr.com/ru/articles/996538/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996538;Sat, 14 Feb 2026 10:16:02 GMT
Краткий ликбез по пенсиям;https://habr.com/ru/articles/995030/?utm_source=habrahabr&utm_medium=rss&utm_campaign=995030;Sat, 14 Feb 2026 09:59:44 GMT
Лучшие нейросети для создания видео в 2026 году: Гайд по генерации из фото и текста, промпты;https://habr.com/ru/companies/studyai/articles/996534/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996534;Sat, 14 Feb 2026 09:57:03 GMT
Квантовый Интеллект — призрак AGI;https://habr.com/ru/articles/996522/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996522;Sat, 14 Feb 2026 09:18:50 GMT
Почему «не взлетели» дирижабли? Часть 9: пепел войны и новые возможности;https://habr.com/ru/companies/ruvds/articles/996264/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996264;Sat, 14 Feb 2026 09:01:44 GMT
Газ Кнудсена и кнудсеновска диффузия с точки зрения Статической теории газов (СТГ);https://habr.com/ru/articles/996500/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996500;Sat, 14 Feb 2026 08:19:15 GMT
View Transitions API: полное руководство по плавным переходам в браузере;https://habr.com/ru/articles/996498/?utm_source=habrahabr&utm_medium=rss&utm_campaign=996498;Sat, 14 Feb 2026 08:15:38 GMT
Иллюзия смысла: как фильтрация данных создает научные фантомы;https://habr.com/ru/companies/timeweb/articles/993048/?utm_source=habrahabr&utm_medium=rss&utm_campaign=993048;Sat, 14 Feb 2026 08:05:34 GMT
